block_type,start,end,duration,segments,speaker_count,speakers,text
AD,1949.33,2135.75,186.42,6,4,"SPEAKER_06,SPEAKER_07,SPEAKER_10,SPEAKER_13",밤 열두시 술 취해 지친 목소리 새벽 두시 차갑게 꺼진 전화기 사랑해본 적 영화처럼 첫눈에 반해본 적 전화기를 붙들고 밤새본 적 세상에 자랑해본 적 쏟아지는 빗속에서 기다려본 적 그를 향해 미친듯이 달려본 적 몰래 지켜본 적 미쳐본 적 다 보면서도 못 본 척 있겠죠 사랑해본 적 기념일 때문에 가난해본 적 잘하고도 미안해 말해본 적 연애 편지로 날 세본 적 가족과의 약속을 미뤄본 적 아프지 말라 신께 빌어본 적 친구를 피해본 적 잃어본 척 가는 뒷모습 지켜본 적 미친 듯 사랑했는데 왜 정말 난 잘해줬는데 왜 이별해본 적 빗물에 화장을 지워내본 적 빈 생물을 잘라내본 적 끄는 담배를 쥐어본 적 혹시라도 마주칠까 자리 피해본 적 보내지도 못할 편지 적어본 적 술에 마취 돼서 전화 걸어본 적 입이 얼어본 적 잊겠죠 이별해본 적 사랑했던 만큼 미워해본 적 읽지도 못한 편지 찢어본 적 잊지도 못할 전화번호 지워본 적 기념일을 혼자 챙겨본 적 사진들을 다 불태워본 적 이 세상의 모든 이별 노래가 당신 얘기일 거라 생각해본 적 미친듯 사랑했는데 왜 정말 날 잘해줬는데 왜 모든걸 다 줬었는데 고맙습니다.
DJ/GUEST,2175.52,2368.29,192.77,24,2,"SPEAKER_04,SPEAKER_05",에픽하이 피처링 융진 러브러브러브 듣고 왔습니다. 여러분은 이은지의 가요광장 함께하고 계시고요. 저는 텐디 이은지입니다. 커피 주문해 주신 분들 사연 만나봐야죠. 2102님 오늘 노량진에서 같이 수험 공부했던 친구를 만나러 가요. 저에게 도움을 많이 주었던 친구라 잘되길 바랬는데 저만 합격을 해서 마음이 아팠어요. 그 친구가 지금 2차 시험을 앞두고 있다고 해서 응원하러 서울 갑니다. 커피 두 잔 신청해요 이야 응원하러 지금 서울까지 2102님이 오고 계신 것 같아요 와우 2102님 오늘 놀라실 텐데 서울 지금 빙판길에다가 눈길에다가 미끌미끌 완전 미끌미끌하다 미끌미끌한 바닥이 그냥 미끌미끌해요 안전하게 조심히 잘 다니시고 오늘 두 분 좋은 추억 만드시라고 저희가 커피 두 잔 보내드리도록 합니다 5951님 이은지씨 안녕하세요. 전 신생아와 산모님들을 케어하고 있는 배희경 관리사입니다. 천사같은 아기 매일매일 원없이 안고 살아가다 보니 너무너무 행복해요. 지금은 은소리집에서 소리와 산모님과 함께 듣고 있어요. 커피 두 잔 부탁드려요. 이야 굉장히 우리 배희경 관리사님께서 본인의 일을 엄청 사랑하시는 것이 좀 느껴지고요. 산모님과도 어떤 유대관계나 이런 것들이 케미가 좀 돋으시는 것 같은데요. 같이 또 라디오도 들어주시고 아 감사드립니다. 사실 이게 아기랑 함께 한다는 게 좀 쉬운 일은 아닌데 그래도 자기의 일을 사랑하면서 파이팅 있게 하시는 모습이 너무 멋지시고 591님께 저희가 커피 두 잔 보내드릴게요. 8391님 바깥에서 전기설비 점검 중인데 제법 추운데 햇빛이 있어서 다행이네요 커피 3잔 되나요? 신청곡은 싸이의 챔피언 아우 팔상고일렘 어떤 이유로 또 3잔씩이나 또 아니 뭐 3잔 당연히 보내드릴 수 있죠 저희 뭐 예전에 막 6잔도 갔고요 9잔까지도 갔고 막 그래요 3잔 무조건 보내드릴 수 있고 누구랑 드시는지 저희가 전화 한번 걸어볼게요 팔상고일렘 이거 버릴 거예요 안 버릴 건데요 예예 예 안녕하세요 8391님 예예예 커피 몇 잔 할래요 아 세 잔 주세요 아유 세 잔 보내드려야죠 예예 바쁘신데 자기소개 부탁드립니다 여기 라디오에요 이은지의 가요광장이에요 아이고 연결됐네요 지금 저기 노지에서 태양광 설비 점검하고 있어요 아유 어디서요 아 저기 충청도 북이라고 있어요 북이 우리 엄마는 옛날에 해미로 시장 가서 콩 팔러 갔는데 충청도 거기 충청도 어디시라고요?
DJ/GUEST,2368.31,2388.71,20.4,4,2,"SPEAKER_04,SPEAKER_05",북이 청주시 북이면 아 북이면 8391님 바쁘신데 전화 연결 감사드리고 몇 가지 좀 이렇게 여쭤보면 커피 보내드릴 건데요 지금 현재 태양광 설치 중이신데 날씨가 어떻습니까? 아우 낮에 바람이 깨부네요. 바람이 깨부네요. 햇빛이 있어서 조금 따뜻한 데 있다가 갔다가 그래요.
DJ/GUEST,2388.81,2414.03,25.22,7,2,"SPEAKER_04,SPEAKER_05",따뜻한 데 있다가 갔다가. 아니 근데 이렇게 바깥에서 일하실 때 라디오 듣기 쉽지 않으실 텐데 어떻게 들으세요? 차에서 계속 방영수부터 주현미부터 싹 들어요. 차 타면. 그다음에 저기 은간부터. 그쪽은 다 제가 일찍 나갔던 FM2부터 저기. 조정식부터.
DJ/GUEST,2415.03,2427.19,12.16,3,2,"SPEAKER_04,SPEAKER_05",이거 완전 KBS 라디오 국장님 아니셔요? 라디오를 고정을 해놨습니다. 우리 이은지 씨가 워낙 진행을 활발하게 잘하시니까 듣기 좋습니다.
DJ/GUEST,2427.31,2442.88,15.57,4,2,"SPEAKER_04,SPEAKER_05",국장님 감사합니다. KBS 국장님이라고 제가 이제부터 8391님을 말씀드릴게요. 아니 근데 노래는 어떻게 싸이의 챔피언을 이렇게 좋아하셔요? 우울하니까 신나는 곡이 필요해서
DJ/GUEST,2443.8,2460.54,16.74,3,2,"SPEAKER_04,SPEAKER_05",확실히 12시부터 2시까지는 신나는 곡이 나와야 좋겠어요. 커피 3잔 주문하셨는데 누구 누구 드리게요? 거기 점검하는 저하고 같이 일하시는 분 두 분.
DJ/GUEST,2461.82,2479.84,18.02,4,2,"SPEAKER_04,SPEAKER_05",그렇게 해서 총 세 분 보내드려야 되고. 아니 우리 라디오에 어쨌든 사연이 당첨이 됐으니까 하고 싶은 이야기 있으세요? 가족들한테 해도 좋고요. 근데 하고 싶었는데 우리 이은재 씨의 악동복수에 들어오면 기분이 많이 좋아집니다.
DJ/GUEST,2480.36,2496.91,16.55,7,2,"SPEAKER_04,SPEAKER_05",아니 그러면 이거 어때요? 조정식 씨랑 박명수 씨 우리 주연민 선배님 그리고 은가인 씨한테 한번 음성편지 한번 남겨보시죠. 나나까지. 누구 누구? 나나. 나나. 나 저기 콩.
DJ/GUEST,2496.93,2511.23,14.3,8,2,"SPEAKER_04,SPEAKER_05",검은콩. 아 이본씨까지. 이본씨까지 듣다가 중간에 못 듣는데 시간이 안 돼서. 나머지는 추리로 봅니다. 나머지는 뭘로 보신다고요? 라디오로 그냥 계속 들어요. 계속 들어요. 이동하는 중이에요.
DJ/GUEST,2511.29,2542.76,31.47,7,2,"SPEAKER_04,SPEAKER_05",우리 함께하는 DJ들에게 음성편지 남겨봅니다. 국장님 가시죠. 예. 하여튼 뭐 저기 이은지 씨도 활발하고 막 좀 진행이 좋고 조정식 씨는 아주 책이 넘치고 박명수 씨는 그 육개암으로 뭐 나름대로의 그 철학이 있으니까 잘 진행이 되는 것 같아요. 박자들이. 그러니까 구간 구간 구간 지루하질 않아요. 저기 끝나면 또 색다른 DJ가 가고 그 다음 또 색다른 DJ가 가니까 아주
DJ/GUEST,2543.55,2558.25,14.7,2,2,"SPEAKER_04,SPEAKER_05",재미있게 듣고 있습니다 아이고 감사합니다 국장님 국장님이라는 호칭이 좀 익숙하세요 국장은 전화 통신 쪽에서 국장이라고 하는데.
DJ/GUEST,2558.27,2575.55,17.28,7,2,"SPEAKER_04,SPEAKER_05",실제로 국장님이시구나. 제가 DJ들한테 이거 다 전파할게요. 이런 청취자분이 계셨다고요. 특색이 있어서 좋다고 듣기도. 감사합니다. 코너코너도 니트가 있고 괜찮아요. 싫어하지 않게끔.
DJ/GUEST,2575.53,2613.31,37.78,2,2,"SPEAKER_04,SPEAKER_05",너무 감사드리고 이 감상평 제가 모든 이본씨 박명숙씨 조정식씨 우리 은가은씨 주현미선배님께 제가 다 전달하도록 하겠습니다 그래서 제가 이은지씨를 이은지씨가 개그적이네 고맙습니다 국장님.
